"file","categoryname","price","mass","volume","description"
"Seafood","Natural_Products/Food/Generic",115,1,1,"@cargo/seafood.image@This product range includes water dwelling creatures and their by-products. Typically it includes fish, crustaceans, and other such creatures from which all species can obtain nutritional value."
"Meats","Natural_Products/Food/Generic",110,1.1,1,"@cargo/animal_meat.image@Although no food movement has ever managed to persuade diners away from their omnivorous roots, as range animals are too resource intensive, nearly all meat is vat grown."
"Produce","Natural_Products/Food/Generic",80,1.1,1,"@cargo/produce.image@Fruits and vegetables ranging from the humble citrus fruit and salad vegetables to those exotic items found only in the most out of the way locations."
,,,,,
"Malt_Beverages","Natural_Products/Liquor",45,0.9,1,"@cargo/beer.image@Incorporating alcohols such as beer, ale and mead, such drink is usually made from fermented grains, barley and hops, but not necessarily limited to this. Served cold in warm climes, and warm in cold climes."
"Wines","Natural_Products/Liquor",100,0.9,1,"@cargo/wine.image@The fermented juices of fruit, typically grapes, crushed under the feet of whoever was passing by, hence the various distinctive tastes. After aging and bottling, wine is sold to the mass market in the mistaken belief that it provides refined social graces."
"Spirits","Natural_Products/Liquor",55,0.9,1,"@cargo/spirits.image@Consisting in the main of hard alcohols distilled from whatever was handy at the time and usually aged in wood barrels to disguise the aftertaste. One of the prime sources of battle causes and maudlin singing."
"Brandy","Natural_Products/Liquor",70,0.9,1,"@cargo/brandy.image@Fermented fruit, distilled into liver quaking perfection. Notably, after humans expanded offworld, people stopped caring as much as to whether their brandy came from the Cognac region..."
"Space_Grog","Natural_Products/Liquor",60,1.8,2,"@cargo/space_grog.image@This is the stuff guaranteed to knock a drinker out cold after a couple of glasses have burned down their throat. Known in previous ages as moonshine, hooch, rough gut and so on, this is the liquor with no quality control for ingredients, made in those out of the way places where alcohol is drunk for its kick, not its taste."
"Tripezian_Premium","Natural_Products/Liquor/Confed",55,0.2,0.25,"@cargo/tripezian_premium.image@Taste the flavour of the Frontier! Tripezian Ale is the product of fermented tripezian berries, an alien fruit lethal when eaten, but whose fermented juices have an intense and exotic flavour. Tripezian berries are produced on only a few worlds and in limited quantities. This makes Tripezian Ale one of the most expensive and sought after beverages in all of known space."
"Emendolya","Natural_Products/Liquor/Confed",2000,2,1,"@cargo/specialty_wines.image@This product was released to the public by Velthatris Corporation. Some of the latest achievements in gene alteration seem to be connected to it although Velthatris remains silent about this. It is on the right track to be an en vogue beverage despite the fact that long term effects on the human physiology have still not been fully investigated."
"Specialty_Wines","Natural_Products/Liquor/Confed",10000,2,1,"@cargo/specialty_wines.image@Finely crafted wines from carefully cultivated vineyards. Unlike the cheap wines from farm planets devoted to wine production, every bottle contains liquid craftsmanship and the potential for culinary exploration."
"Sarakan_Tears","Natural_Products/Liquor/Uln",160,0.2,0.25,"@cargo/sarakan_tears.image@Distilled from the sap of the Sarak bush, this spirit defines the old adage: 'Whatever doesn't kill you, will numb the mouth, burn the throat, upset the stomach, tear you a new one and leave you with a nice rosy outlook towards the universe!'"
,,,,,
"Cotton","Natural_Products/Renewable_Resources",120,11,10,"@cargo/cotton.image@Used in the main as a fabric in clothing, textiles and home furnishings, cotton remains one of the best natural fibres in use today."
"Water","Natural_Products/Renewable_Resources",10,10,10,"@cargo/fresh_water.image@The main building block of life. Fresh water is required by most animalistic species to maintain bodily function. A body will normally use water to carry nutrients to all cells of the body, and remove toxic wastes to avoid poisoning and death."
"Rubber","Natural_Products/Renewable_Resources",150,1.5,1,"@cargo/rubber.image@An elastic substance that is obtained by coagulating the milky juice of various tropical plants, prepared as sheets then dried and cut. Basic uses are in correspondence, manufacturing, clothing and sexual activities."
"Lumber","Natural_Products/Renewable_Resources",105,17,27,"@cargo/lumber.image@The stripped down trunks of larger plantlife, still finding use in construction, religious ceremonies, artwork, furnishings and primitive heating."
,,,,,
"Spices","Natural_Products/Plant_Products",30,0.05,0.1,"@cargo/spices.image@Useful as a preservative and in general food preparation. Traders often use spices to disguise the taste of rancid meat after transport. Many human travellers use spices to add (disguise) the flavour in standard mealpacks."
"Incense","Natural_Products/Plant_Products",50,0.5,1,"@cargo/incense.image@Consisting of compressed fragrant plantlife, oils and the occasional recreational drug, incense is used for both religious purposes, and by the mass market for relaxation."
"Narcotics","Natural_Products/Plant_Products",110,0.15,0.1,"@cargo/narcotics.image@Typically, the cured product of various plants burnt to produce an aromatic smoke and inhaled through a respiratory system. The most common variety used is the Nicotiana (nicotine) leaf. Other plant products include cannabis, hashish, and dried opium juice."
"Krystal","Natural_Products/Plant_Products",240,0.1,0.1,"@cargo/krystal.image@Typically a small tube filled with a crystalline substance used to produce an euphoric effect. Commonly absorbed into the bloodstream via the respiratory system, or injected directly into the bloodstream via hyposyringes."
"Khaisalantimin_F62","Natural_Products/Plant_Products",500,0.04,0.1,"@cargo/khaisalantimin_F62.image@Produced by a genetically engineered hybrid of Terran and Xeno flora, the F62 variant of the extract of the seeds of the Khaisal plant induces a prolonged state of euphoria in humans. While the extract is not intrinsically toxic and withdrawal is remarkably mild, problems arise due to rapidly increasing tolerance and lost productivity due to excessive use."
,,,,,
"Livestock","Natural_Products/Life-forms",110,60,100,"@cargo/livestock.image@Without goats and sheep, the world of good cheese would be greatly crippled."
"Bonsai","Natural_Products/Life-forms",250,2,8,"@cargo/bonsai.image@The ancient art of Bonsai (crudely: Tree Pruning) creates easily transportable plant shapes of all exotic shape and bent. In high demand for their aesthetic appearance, they are often used to complete landscaped visual surrounds. A secondary use is their calming effect while caring for your Bonsai."
,,,,,
"Astral_Gases","Raw_Materials/Gases",40,1.2,25,"@cargo/astral_gases.image@Astral gases are the highly valuable and rare products of uncommon reactions in nebulas and gas giants. Comprized of complex structures of fused gaseous elements, Astral gases have a wide range of applications in modern industry and manufacturing."
"Atmospheric_Gases","Raw_Materials/Gases",30,1.2,25,"@cargo/atmospheric_gases.image@Consisting primarily of those gases required to support life such as hydrogen, oxygen and nitrogen. These and other gases are mixed according to individual species' requirements. Without these gases, existence in space would be impossible."
"Halogen_Gases","Raw_Materials/Gases",80,1.2,25,"@cargo/halogen_gases.image@Halogen gases are characterized as salt forming (hence sodium chloride or common table salt) They are used primarily in the production of various nuclear, chemical and petrochemical fuels, as well as general manufacturing and the purification of water."
"Noble_Gases","Raw_Materials/Gases",65,1.2,25,"@cargo/noble_gases.image@Otherwise known as the inert gases. Commonly used in refining, medical applications, general manufacturing as well as nuclear energy production and laser weapon production and research."
,,,,,
"Corundum_Crystals","Raw_Materials/Industrial_Gems",1400,30,10,"@cargo/corundum_crystal.image@A hard aluminum oxide, the common forms of which are used as abrasives."
"Dilithium_Crystals","Raw_Materials/Industrial_Gems",1340,20,10,"@cargo/dilithium.image@Dilithium telluride, while not particularly impressive, is always a desired item among the religious fanatics of the trekkie religion."
"Quartz_Crystals","Raw_Materials/Industrial_Gems",1000,20,10,"@cargo/quartz_crystal.image@A useful component of cheap oscillators and cheap art."
"Trilithium_Crystals","Raw_Materials/Industrial_Gems",1600,20,10,"@cargo/trilithium_crystal.image@Prized possessions of the trekkie religion, the crystals (trilithium nitride) have precious little actual value."
,,,,,
"Construction_Stone","Raw_Materials/Stone",20,120,50,"@cargo/facing_stone.image@When advanced contruction materials are unavailable, or not usable in a particular environment, large stone blocks (typically granite or basalt) are used. Used mainly as foundation stone, water planets in particular use stone as a sea barrier, creating artificial islands."
"Facing_Stone","Raw_Materials/Stone",100,50,25,"@cargo/construction_stone.image@The finer, better textured stone (of which marble is famous) is used as a decorative covering on buildings, and for stonework. Possessing a building with stone facing, rather than standard materials is a sign of status and wealth."
"Natural_Sculptures","Raw_Materials/Stone",350,65,50,"@cargo/natural_sculptures.image@Originally considered waste, stone that has been carved by nature is now considered both decoration and art. Large slabs are used as wall decoration, while small pieces are used in artwork, or are works of art themselves."
,,,,,
"Natural_Gas","Raw_Materials/Hydrocarbons",92,1,25,"@cargo/natural_gas.image@A combustible mixture of gases, usable as both a fuel and a raw material in production. A secondary source of such gas is the by-product of animal bio-waste."
"Oil","Raw_Materials/Hydrocarbons",80,8,10,"@cargo/oil.image@Liquid lipids of various origin."
"Coal","Raw_Materials/Hydrocarbons",20,12,10,"@cargo/hydrocarbons.image@Ancient dead compressed carbon-life. Solid form."
"Butane","Raw_Materials/Hydrocarbons",120,8,10,"@cargo/butane.image@Because sometimes, with all the technology around you, what you really want is a Zippo."
"Diesel","Raw_Materials/Hydrocarbons",130,8,10,"@cargo/diesel.image@On planets where resupply is expensive, diesel is an efficient, if polluting, fuel of choice."
"Petroleum","Raw_Materials/Hydrocarbons",90,8,10,"@cargo/petroleum.image@Ancient dead carbon-life. Liquid form."
,,,,,
"Iron_Ore","Raw_Materials/Ores",52,70,10,"@cargo/base.image@Iron has been vital in the histories of all of the spacefaring races. The prime variance is the ratio of cast iron cookware to iron and steel killingware."
"Nickel_Ore","Raw_Materials/Ores",50,90,10,"@cargo/base.image@Useful as an anti-corrosive coating, nickel is often mined in bulk from nickel-iron asteroids."
"Tin_Ore","Raw_Materials/Ores",47,70,10,"@cargo/base.image@Absent tin, the interstellar sardine trade would flounder."
"Tungsten_Ore","Raw_Materials/Ores",110,190,10,"@cargo/base.image@Due to its exceptional melting temperature and continued tensile strength at high temperatures, tungsten is a vital part of the spacefaring industry."
,,,,,
"Base_Metals","Raw_Materials/Metals",23,90,10,"@cargo/base.image@Composing most elements discovered to date, it includes titanium, iron, nickel, copper to name a few common metals. These base metals are usually blended both with each other and the other remaing periodic elements. The resulting alloys have application across the full spectrum of general manufacturing, from steel to nuclear applications to medicine, lighting and painting."
"Alkali_Metals","Raw_Materials/Metals",47,65,10,"@cargo/alkali_metals.image@Alkali metals and earths are primarily used in alloys with other metals. As such, alkali derivatives can be found in structural materials, fuel sources, nuclear applications and general manufacturing. Common characteristics include igniting spontaneously in air and violent reactions with water."
,,,,,
"Isometal","Refined_Materials/Alloys/Confed",130,16,1,"@cargo/isometal.image@A generic term for any metal alloy which has been strengthened via a slow thermal reduction cycle. As a result these alloys have a high ability to dissipate energy and are frequently used for armor plating."
"Plasteel","Refined_Materials/Alloys/Confed",60,6,1,"@cargo/plasteel.image@An alloy of metals and carbon nanotubes has resulted in a lightweight metal with high strength and durability. Commonly used in aerospace framework and to a small extent as exterior armor."
"Plasglass","Refined_Materials/Alloys/Confed",60,5,1,"@cargo/plasglass.image@An alloy of metals, plastics and silica glass, this alloy has a transparency slightly less than glass, but with the hardness of metals and is shatterproof. Commonly used for windows in buildings, and where solid walls will detract from visual appearance."
"Steel","Refined_Materials/Alloys/Confed",76,8,1,"@cargo/steel.image@While surpassed by more highly advanced alloy combinations, steel remains a low cost version for general and machinery construction. Steel consists of an iron ore base with a mixture of sundry metals to vary melting points, tensile strength, brittleness and hardness."
"Bipolite","Refined_Materials/Alloys/Aera",110,8,1,"@cargo/bipolite.image@A polysteel mix variable alloy doped to produce electromagnetic regions, which, when activated, assist in diverting particles from impact paths and rippling kinetic energy from the impact point."
"Duranium","Refined_Materials/Alloys/Aera",110,20,1,"@cargo/duranium.image@Sacrificing increased mass for increased protection, massive slabs of depleted uranium are mixed with osmium and encased in an ablative coating of tantalum carbide."
"Polysteel","Refined_Materials/Alloys/Aera",78,8,1,"@cargo/polysteel.image@An intricate filadough-like sandwich of metals and ceramics glued together by carbon polymers."
"Tritanium","Refined_Materials/Alloys/Aera",100,7,1,"@cargo/tritanium.image@An alloy based on titanium and forming interlinking molecules of three metallic atoms, this metal is exceedingly strong. Commonly used in bulkhead construction and armor plating."
"Carbonium","Refined_Materials/Alloys/Rlaan",40,6,1,"@cargo/carbonium.image@This alloy is generated from the bio-waste of the Rlaan biogenerator energy system. This bio-waste is melded at high temperature with assorted metals to form an odd appearing, flexible yet hard alloy."
"Obsidisteel","Refined_Materials/Alloys/Rlaan",100,7,1,"@cargo/obsidisteel.image@A combination of metals and silicate oxides, this dark, hard substance is actually secreted from living silicon based organisms."
,,,,,
"Radium","Refined_Materials/Radioactive_Metals",400,5,1,"@cargo/radium.image@A wonderful ingredient for glowing paints."
"Thorium","Refined_Materials/Radioactive_Metals",300,11,1,"@cargo/radioactives.image@An exceptionally common source of nuclear power, it is also known for the exceptional melting points of its oxide."
"Uranium","Refined_Materials/Radioactive_Metals",540,19,1,"@cargo/uranium.image@A rather common radioactive used primarily in fission piles. The depleted isotopes are used in kinetic impact weapons."
,,,,,
"Anti_Corrosives","Refined_Materials/Precious_Metals",180,18,1,"@cargo/anti_corrosives.image@Exemplified by such metals as Platinum, prized for its luster and resistance to corrosion, the rarity of these metals leads to their value."
"Gold","Refined_Materials/Precious_Metals",160,19,1,"@cargo/gold.image@An exceptionally ductile metal, gold has long been used for the manufacture of useless, albeit pretty, constructions. It's conductive properties have, over the last millenium, given it roles in more useful applications."
"Rare_Earths","Refined_Materials/Precious_Metals",156,18,1,"@cargo/rare_earths.image@Otherwise known as lanthanoids or the lanthanide series of metals that are highly reactive in air. Rare Earths are used in almost all advanced product manufacturing, particularly lighting and nuclear applications."
,,,,,
"Chemical_Mix","Refined_Materials/Chemicals",100,1,1,"@cargo/chemical_mix.image@Original sources of chemicals used in the creation of gases, liquids and solids that form chemical fuel."
"Heavy_Water","Refined_Materials/Chemicals",100,1,1,"@cargo/heavy_water.image@While not a fuel in itself, it is a key component in several types of advanced fuels. It is a water molecule where the hydrogen atom contains an additional neutron. Heavy Water has extensive use in both nuclear fission and fusion, and is used in water dynamo batteries."
"Dyes","Refined_Materials/Chemicals",100,1,1,"@cargo/dyes.image@Dyes are colored substances obtained from various chemical compounds and used to give products such as food, textiles and suchlike a coloration different to their original form."
"Acids","Refined_Materials/Chemicals",100,1,1,"@cargo/acids.image@Acids are substances that taste sour in water solution, react with some metals to release hydrogen, react with a base to form salts, and enact certain chemical reactions known as acid catalysis. Used extensively in the manufacturing process."
"Catalysts","Refined_Materials/Chemicals",100,1,1,"@cargo/catalysts.image@Catalysts are substances that enable a chemical reaction to occur at a faster rate, lower temperature or in conditions altered from what would normally occur. Used extensively in industrial processes."
"Esters","Refined_Materials/Chemicals",100,1,1,"@cargo/esters.image@Any of a class of often fragrant compounds that can be represented by the formula RCOOR and that are usually formed by the reaction between an acid and an alcohol with elimination of water. Typically used for aromatic purposes."
"Rare_Catalysts","Refined_Materials/Chemicals",200,1,1,"@cargo/rare_catalysts.image@Corporations have made fortunes by perfecting a single chemical reaction for maximum efficiency. One of the best ways of doing this is to use the best catalysts to move the reaction faster and with less waste. The most valuable catalysts are often very difficult and expensive to obtain."
"Ethanol","Refined_Materials/Chemicals",100,1,1,"@cargo/ethanol.image@Explosive fuel liquid used as a basic fuel source for powering primitive combustion motors. The motor ignites the fuel, which expands on ignition. The pressure of the explosion drives a piston, in turn driving a power shaft."
"Petrochemicals","Refined_Materials/Chemicals",100,1,1,"@cargo/petrochems.image@Refined hydrocarbon fuels. Used to power lower tech combustion equipment and vehicles. Having seen use for centuries, petrochem power plants have been developed to a high degree of efficiency in converting petrochems to energy. Plus, almost all waste emission is now recycled for industrial usage. Strongly desired for its high power to mass ratio on developing worlds with low technological infrastructure."
"Chemical_Fuels","Refined_Materials/Chemicals",100,1,1,"@cargo/chemfuel.image@Gases, liquids and solids that when superheated, explode, providing heat and thrust when directed out of a nozzle. Typically used as a propellant in solid weaponry, and in space vehicles where other power sources are unavailable or unnecessary."
,,,,,
"Industrial_Gemstones","Refined_Materials/Purified_and_Enhanced_Materials",1130,3,1,"@cargo/industrial_gemstones.image@Lesser quality and flawed gemstones are more often used in industrial processes rather than for personal adornment. They form part of the manufacturing process itself, but occasionally are used as part of the end product."
"Jewels","Refined_Materials/Purified_and_Enhanced_Materials",1130,3,1,"@cargo/jewels.image@Formed by high planetary pressure and heat, jewels are brilliantly colored gemstones usually used for personal adornment. Rubies, sapphires and emeralds are the most popularly known jewels. Some jewels also find use in weapons research."
"Diamonds","Refined_Materials/Purified_and_Enhanced_Materials",1000,3,1,"@cargo/diamonds.image@As one of the hardest known natural substances, diamonds are a rarity among gemstones. They find use in most industrial processes, usually for cutting, weapons research, and are also highly valued for their appearance alone."
"Sorir_Lightstones","Refined_Materials/Purified_and_Enhanced_Materials",1130,0.8,1,"@cargo/sorir_lightstones.image@Researchers are still undecided if this stone is a live being, or a chemically reactant mineral. Either way, when immersed in water, these stones provide a bright light in ruby, sapphire and emerald hues. Aside from their beauty, these stones are commonly used as emergency lighting where alternative power is unavailable."
"Reinforced_Rubber","Refined_Materials/Purified_and_Enhanced_Materials",1130,1.7,1,"@cargo/reinforced_rubber.image@Natural or synthetic rubber modified by chemical treatment to increase its useful properties such as toughness and resistance to wear. Used especially in airlocks, electrical insulation, and for waterproofing materials."
"Wood_Boards","Refined_Materials/Purified_and_Enhanced_Materials",130,6,10,"@cargo/wood_boards.image@While wood is no longer required for its structural aspects on developed worlds, lesser developed planets still use it as a primary construction material. It does maintain, however, an aesthetic preference for its appearance."
,,,,,
"Plastics","Refined_Materials/Synthetics",240,1,1,"@cargo/plastics.image@Any of various organic compounds artificially produced by polymerization and capable of being molded, extruded, cast into various shapes and films, or drawn into filaments."
"Computer_Fibres","Refined_Materials/Synthetics",370,1,1,"@cargo/computer_fibres.image@The most common component of modern electronics and computers is the 'computer fibre'. These fibers act as carriers of data between different computer subunits in modern systems, and also as small dynamic logic processors in everyday objects."
,,,,,
"Bulk_Seeds","Industrially_Manufactured_Goods/Agricultural",25,60,100,"@cargo/bulk_seeds.image@As most seed crops develop sterile adult forms when growing in alien soils, only a select few planets have the ability to generate seed supplies. Hence, all non-native crops must still be brought in through interstellar shipping, and most agricultural colonies tend to lack the genetic research facilities to produce their own variants."
"Engineered_Seeds","Industrially_Manufactured_Goods/Agricultural",25,35,50,"@cargo/engineered_seeds.image@Genetically enhanced or varied cropseed developed to remain fertile in alien soils, to produce more from a given amount or to produce more quickly. Environmental terrorists still protest the use of such products, despite acceptance by the population at large."
"Pesticides","Industrially_Manufactured_Goods/Agricultural",100,27,25,"@cargo/pesticides.image@No matter where one goes, it seems that every world capable of supporting life supports at least one species that is exceptionally annoying to whatever civilization attempts to colonize it. The age-old solution to this problem is to kill said species. Admittedly, doing so in a fashion that doesn't manage to hurt the colonists is still a subject of intense research. However, any pesticide producer will proudly claim that having a few babies born with the wrong number of legs is surely a small price to pay for not having disfiguring holes in all of the world's crops."
"Synthetic_Fertilizer","Industrially_Manufactured_Goods/Agricultural",140,80,64,"@cargo/synthetic_fertilizer.image@Since the smell of organic fertilizer is impossible to get out of one's cargo hold, most transport haulers will only allow synthetic fertilizer through their bay doors. Synthetic fertilizer consists of those compounds needed to place nutrients in planetary soils, without those added extras to get on the nose."
"Distillators","Industrially_Manufactured_Goods/Agricultural",200,12,5,"@cargo/distillators.image@While mainly consisting of tubing and pumps, distillators will extract fresh water from any water source via a process of evaporation, chemical reaction, sedimentation and other arcane processes. Used to avoid the 'water, water everywhere and not a drop to drink' problem."
"Livestock_Equipment","Industrially_Manufactured_Goods/Agricultural",150,10,10,"@cargo/livestock_equipment.image@Whether you need to collect the products of an animals intestines for food, ensure the care of said animals or fatten them up for slaughter to make sure they produce the most, you need the right equipment for the job."
"Hydroponics","Industrially_Manufactured_Goods/Agricultural",130,18,20,"@cargo/hydroponics.image@Growing plants in a liquid solution offers flexibility in placement relative to soil planting. Especially useful in environments that do not actually have soil such as spacecraft and stations, or used where planetary soil is not sufficient for the growing of food crops."
,,,,,
"Automated_Factories","Industrially_Manufactured_Goods/Construction",27000000,20000,10000,"@cargo/automated_factories.image@As general production involves - in the main - mindless repetition, it is expected that most spaceborn factories will become automated. This is expected to save countless billions in both wages and sentient life maintenance. AI Cores will fully operate such factories, with the only likely sentient contact being oversight and production program changes."
"Construction_Vehicles","Industrially_Manufactured_Goods/Construction",90000,300,75,"@cargo/construction_vehicles.image@The ability to lift large masses and manipulate them dextrously in three dimensions is essential for construction and lacking in all known sentient beings. These machines make up for the shortcomings of biology."
"Factory_Constructors","Industrially_Manufactured_Goods/Construction",100000,4000,800,"@cargo/factory_constructors.image@Self constructing factories in a large box. These constructors need only be placed in location, and on the press of the Start button they will unfold, construct the prefab buildings and install the necessary factory equipment. Pressing the Start button a second time will cancel the operation."
"Landscaping_Equipment","Industrially_Manufactured_Goods/Construction",16620,250,55,"@cargo/earthmover.image@For when that hill is blocking your view, you want to recreate your garden surrounds in the latest style, or just want to cover up that unsightly nuclear waste dump. Whenever you are altering the appearance of your surrounds, you need this equipment."
"PreFab_Buildings","Industrially_Manufactured_Goods/Construction",4400,200,125,"@cargo/prefab_buildings.image@Prefabricated modular buildings are used for all bar the most costly or esoteric of construction. Easy to construct, seal and furnish, these buildings find use in both residential, industrial and commercial operations. Often used as a structural base with additions made to suit taste."
"Recycling_Tanks","Industrially_Manufactured_Goods/Construction",25000,15,8,"@cargo/recycling_tanks.image@Highly advanced civilizations produce a great deal of waste products. Discarded electronics, empty mealpacks, and old starships contain a wealth of raw and rare materials. Recycling tanks are designed to help break down waste into simple materials that can be reused. This item promises to revolutionize how trash is handled everywhere, from space stations to superdeveloped worlds."
,,,,,
"PAI_Wetware","Industrially_Manufactured_Goods/Electronics",12500,0.5,0.5,"@cargo/pai_wetware.image@Pseudo-Artificial Intelligence. PAIs are wet-ware embedded in hardware - genetically engineered brain-in-boxes that distribute the tasks of thinking between the organic and inorganic components. Commercial PAIs are almost universally designed as idiot-savant systems, capable of limited self-motivation and direction, easy to manipulate, but capable of extraordinary problem solving power for the problems they were designed for and trained to assault. PAIs tend to be able to present more natural user interfaces than the expert systems they compete with, tending to be at least vaguely self-aware, and much more responsive to and on emotional levels. In particular, niche market and custom built models are limited only by legislation requiring that entities surpassing a specified set of standardized metrics cannot be considered property, and must be registered as either custom children or custom dependent employees. While the difference is clear for low end models, standards aside, most will agree that the line between a high-end PAI and a designer cyborg human is exceptionally blurry."
"AI_Cores","Industrially_Manufactured_Goods/Electronics",13750000,10,5,"@cargo/ai_cores.image@An outgrowth of cybernetics, AI Cores approach true artificial intelligence. AI Core development and usage is limited, with the development of expert systems and SuSim? cyborgs. For dry computational tasks and rule interpretation the expert systems' lack of self-awareness was a blessing rather than a burden. For physically manifested tasks considered too menial, too dangerous, or too monotonous, the SuSims and SuSimCys proved cheaper, more reliable, and, through advancements in genetics, easy to dominate. Only for those applications where it is difficult to keep cyborg organics alive; or more than computational processing is required are AI Cores employed."
,,,,,
"Welding_Lasers","Industrially_Manufactured_Goods/Manufacturing",180,4,2,"@cargo/welding_lasers.image@There are government projects in every colony that primarily consist of tearing up infrastructure and welding big metal plates over the holes, though no-one knows why. This remains until some second agency comes by a few years later to replace whatever was ripped out. There's also the whole starship construction business, but one wonders which is the bigger market. Either way, effective workers require effective tools."
"Factory_Equipment","Industrially_Manufactured_Goods/Manufacturing",9600,10,2,"@cargo/factory_equipment.image@All hardwired equipment needed for a factory to commence operations. Whether food processing or product manufacture, all you need is supplied in a do it yourself construction kit. Press Start to continue."
"Robot_Workers","Industrially_Manufactured_Goods/Manufacturing",2900,25,4,"@cargo/robot_workers.image@Tireless laborers that will attempt to do nearly any task you can require of them. Unfortunately, in order to keep costs down, their ability to comprehend instructions is somewhat limited."
"Assembly_Tools","Industrially_Manufactured_Goods/Manufacturing",96,1,0.5,"@cargo/assembly_tools.image@To do any job where something needs to be put together, ripped apart or combined with other things, you need the right tools. This packaged set contains everything the happy worker needs to perform their duties. Buy now and receive a free set of socket wrenches."
"BioApplicator","Industrially_Manufactured_Goods/Manufacturing",90,4,5,"@cargo/cargo_hud.image@Essentially a vat full of genetically engineered organisms or their biowaste, with some valves and a spray nozzle. This device is used to create and apply the complex proteins that the Rlaan use as a basic construction material. When the goop sprayed out of the nozzle reacts with the methane atmosphere present on nearly all Rlaan worlds, the required building material denatures into the desired solid form."
"BioRemodeler","Industrially_Manufactured_Goods/Manufacturing",96,0.6,0.5,"@cargo/bio_remodeler.image@This device applies a set of enzymes that sufficiently liquify the organics used in most Rlaan construction. The organics become gel-like, and can be remodelled into the desired forms with little effort."
,,,,,
